id;designation;img;prix
1;Echo Doute;https://m.media-amazon.com/images/I/71bnkM5q8CL._AC_UL600_FMwebp_QL65_.jpg;29.99
2;Jeu de Carpe;https://m.media-amazon.com/images/I/815euXEUb0L._AC_UL600_FMwebp_QL65_.jpg;4.95
3;Peluche Digiplouck;https://m.media-amazon.com/images/I/51KY4F8uyIL._AC_UL600_FMwebp_QL65_.jpg;25.64
4;Water TV Stick;https://m.media-amazon.com/images/I/51NPmUNZn6L._AC_UL600_FMwebp_QL65_.jpg;12.5
5;Raquette de Penis;https://m.media-amazon.com/images/I/71aKDg74S1L._AC_UL600_FMwebp_QL65_.jpg;34.95
6;Clavier PlasticSeries;https://m.media-amazon.com/images/I/61OYI+dx27L._AC_UL600_FMwebp_QL65_.jpg;99.99
7;Coco Cola;https://m.media-amazon.com/images/I/51tMwHUSqPL._AC_UL600_FMwebp_QL65_.jpg;7.95
8;Alcool Vodka;https://m.media-amazon.com/images/I/71Fg3ORy2dL._AC_UL600_FMwebp_QL65_.jpg;19.00
9;Imprichiante;https://m.media-amazon.com/images/I/61tZyu1P5tL._AC_UL600_FMwebp_QL65_.jpg;49.25
10;Coffre Faible;https://m.media-amazon.com/images/I/61LRltuCJTL._AC_UL600_FMwebp_QL65_.jpg;33.99